vid,yid,start,end,raw-text,tokenized-text,gloss,split,duration_sec,word_count,status
4SVP0ShrpN0-00:04:43.833-00:04:45.250,4SVP0ShrpN0,00:04:43.833,00:04:45.250,Captioned by aslcaptions.com,captioned by aslcaptions.com,,train,1.41700000000003,3,missing_npz
4SVP0ShrpN0-00:04:41.291-00:04:43.833,4SVP0ShrpN0,00:04:41.291,00:04:43.833,See you tomorrow and stay with the light.,see you tomorrow and stay with the light,,train,2.541999999999973,8,missing_npz
4SVP0ShrpN0-00:03:57.000-00:04:04.000,4SVP0ShrpN0,00:03:57.000,00:04:04.000,His name was Orlando Serrano-Arzola.,his name was orlando serrano-arzola,,train,7.0,5,missing_npz
4SVP0ShrpN0-00:03:31.667-00:03:38.667,4SVP0ShrpN0,00:03:31.667,00:03:38.667,"He is due in court on March 8, 2021.","he is due in court on march 8, 2021",,train,7.0,9,missing_npz
RjJSxzMkC90-00:03:16.697-00:03:18.031,RjJSxzMkC90,00:03:16.697,00:03:18.031,Captioned by www.DPAN.tv,captioned by www.dpan.tv,,train,1.3340000000000032,3,missing_npz
4SVP0ShrpN0-00:00:00.458-00:00:03.208,4SVP0ShrpN0,00:00:00.458,00:00:03.208,"It is Wednesday, October 7.","it is wednesday, october 7",,train,2.75,5,missing_npz
jEjtVRj8yRA-00:07:33.125-00:07:34.987,jEjtVRj8yRA,00:07:33.125,00:07:34.987,Stay with the light.,stay with the light,,train,1.8620000000000232,4,missing_npz
jEjtVRj8yRA-00:06:20.480-00:06:24.718,jEjtVRj8yRA,00:06:20.480,00:06:24.718,"They permitted up to 30,000 fans to attend.","they permitted up to 30,000 fans to attend",,train,4.238,8,missing_npz
jEjtVRj8yRA-00:00:07.708-00:00:11.111,jEjtVRj8yRA,00:00:07.708,00:00:11.111,"Today is Thursday, July 16.","today is thursday, july 16",,train,3.4030000000000005,5,missing_npz
jEjtVRj8yRA-00:00:00.868-00:00:07.708,jEjtVRj8yRA,00:00:00.868,00:00:07.708,I'm Renca and I will be subbing for Alex today and tomorrow as he is taking time off.,i 'm renca and i will be subbing for alex today and tomorrow as he is taking time off,,train,6.84,19,missing_npz
ftjAL7MnqsE-00:06:51.845-00:06:53.680,ftjAL7MnqsE,00:06:51.845,00:06:53.680,Captioned by aslcaptions.com,captioned by aslcaptions.com,,train,1.8349999999999795,3,missing_npz
ftjAL7MnqsE-00:06:16.910-00:06:23.449,ftjAL7MnqsE,00:06:16.910,00:06:23.449,This is close to the Camp Taloali site.,this is close to the camp taloali site,,train,6.538999999999987,8,missing_npz
jEjtVRj8yRA-00:04:52.692-00:04:57.096,jEjtVRj8yRA,00:04:52.692,00:04:57.096,The employees suffered minor injuries.,the employees suffered minor injuries,,train,4.403999999999996,5,missing_npz
jEjtVRj8yRA-00:01:31.158-00:01:37.531,jEjtVRj8yRA,00:01:31.158,00:01:37.531,The monsoon season in South Asia runs from June to September.,the monsoon season in south asia runs from june to september,,train,6.373000000000005,11,missing_npz
MJijm9kbdHA-00:15:48.707-00:15:50.082,MJijm9kbdHA,00:15:48.707,00:15:50.082,That was fun!,that was fun,,train,1.375,3,missing_npz
MJijm9kbdHA-00:15:35.625-00:15:38.832,MJijm9kbdHA,00:15:35.625,00:15:38.832,It's great to be back and put music out.,it 's great to be back and put music out,,train,3.2069999999999936,10,missing_npz
MJijm9kbdHA-00:15:33.000-00:15:35.625,MJijm9kbdHA,00:15:33.000,00:15:35.625,We're going live soon!,we 're going live soon,,train,2.625,5,missing_npz
MJijm9kbdHA-00:15:16.500-00:15:21.125,MJijm9kbdHA,00:15:16.500,00:15:21.125,Right now we're going to Fox 2 News for a live performance on television!,right now we 're going to fox 2 news for a live performance on television,,train,4.625,15,missing_npz
MJijm9kbdHA-00:14:32.375-00:14:34.791,MJijm9kbdHA,00:14:32.375,00:14:34.791,It was a fun experience for us.,it was a fun experience for us,,train,2.41599999999994,7,missing_npz
MJijm9kbdHA-00:18:15.506-00:18:17.539,MJijm9kbdHA,00:18:15.506,00:18:17.539,How can we support you?,how can we support you,,train,2.0329999999999018,5,missing_npz
MJijm9kbdHA-00:17:51.838-00:17:53.625,MJijm9kbdHA,00:17:51.838,00:17:53.625,Can you explain this?,can you explain this,,train,1.7870000000000346,4,missing_npz
MJijm9kbdHA-00:17:46.540-00:17:50.540,MJijm9kbdHA,00:17:46.540,00:17:50.540,It is now his goal for people to buy his album.,it is now his goal for people to buy his album,,train,4.0,11,missing_npz
MJijm9kbdHA-00:17:39.583-00:17:46.540,MJijm9kbdHA,00:17:39.583,00:17:46.540,Thanks Sean for letting me to be a moth on the wall for your performances!,thanks sean for letting me to be a moth on the wall for your performances,,train,6.95699999999988,15,missing_npz
MJijm9kbdHA-00:17:37.208-00:17:39.583,MJijm9kbdHA,00:17:37.208,00:17:39.583,Good show!,good show,,train,2.375,2,missing_npz
MJijm9kbdHA-00:17:35.540-00:17:37.208,MJijm9kbdHA,00:17:35.540,00:17:37.208,I had a lot of fun!,i had a lot of fun,,train,1.66800000000012,6,missing_npz
MJijm9kbdHA-00:17:29.625-00:17:31.998,MJijm9kbdHA,00:17:29.625,00:17:31.998,There was so much energy.,there was so much energy,,train,2.373000000000048,5,missing_npz
MJijm9kbdHA-00:17:27.000-00:17:29.625,MJijm9kbdHA,00:17:27.000,00:17:29.625,I'm really honored to be honest.,i 'm really honored to be honest,,train,2.625,7,missing_npz
MJijm9kbdHA-00:17:33.708-00:17:35.540,MJijm9kbdHA,00:17:33.708,00:17:35.540,The music was so loud!,the music was so loud,,train,1.83199999999988,5,missing_npz
MJijm9kbdHA-00:14:04.791-00:14:07.041,MJijm9kbdHA,00:14:04.791,00:14:07.041,That was cute.,that was cute,,train,2.25,3,missing_npz
MJijm9kbdHA-00:12:59.457-00:13:01.166,MJijm9kbdHA,00:12:59.457,00:13:01.166,Even my grandparents!,even my grandparents,,train,1.70900000000006,3,missing_npz
4CZCJPhojUc-00:00:08.817-00:00:11.009,4CZCJPhojUc,00:00:08.817,00:00:11.009,Ready for the news?,ready for the news,,train,2.192,4,missing_npz
4CZCJPhojUc-00:00:06.296-00:00:08.817,4CZCJPhojUc,00:00:06.296,00:00:08.817,"It's Monday, October 7.","it 's monday, october 7",,train,2.521,5,missing_npz
pkV9v250i4w-00:06:52.045-00:06:53.413,pkV9v250i4w,00:06:52.045,00:06:53.413,Captioned by aslcaptions.com,captioned by aslcaptions.com,,train,1.367999999999995,3,missing_npz
pkV9v250i4w-00:06:49.009-00:06:52.045,pkV9v250i4w,00:06:49.009,00:06:52.045,Thank you for explaining and keep up the work!,thank you for explaining and keep up the work,,train,3.0360000000000014,9,missing_npz
pkV9v250i4w-00:06:47.072-00:06:49.009,pkV9v250i4w,00:06:47.072,00:06:49.009,"I appreciate your time, Joseph.",i appreciate your time joseph,,train,1.937000000000012,5,missing_npz
pkV9v250i4w-00:06:27.887-00:06:31.324,pkV9v250i4w,00:06:27.887,00:06:31.324,It's going to be a long time.,it 's going to be a long time,,train,3.437000000000012,8,missing_npz
4CZCJPhojUc-00:03:46.016-00:03:50.771,4CZCJPhojUc,00:03:46.016,00:03:50.771,The bar's name is Tequila KC Bar.,the bar 's name is tequila kc bar,,train,4.755000000000024,8,missing_npz
pkV9v250i4w-00:02:18.405-00:02:26.278,pkV9v250i4w,00:02:18.405,00:02:26.278,The World Health Organization (WHO) has been at work coordinating coronavirus responses.,the world health organization who has been at work coordinating coronavirus responses,,train,7.8729999999999905,12,missing_npz
pkV9v250i4w-00:05:25.425-00:05:31.932,pkV9v250i4w,00:05:25.425,00:05:31.932,These deaf associations must be included in their emergency planning in the future.,these deaf associations must be included in their emergency planning in the future,,train,6.507000000000005,13,missing_npz
