vid	text	duration_sec	word_count	file_path	source
W-Ag3H16yN0-00:07:07.639-00:07:13.040	This ensures that no one will try to take a loan in your name.	5.45	14	D:\signbridge_dataset\openasl\train\W-Ag3H16yN0-00.07.07.639-00.07.13.040.mp4	openasl
0Dqrsiqf4pY_11-8-rgb_front	As you jump, you're just going to squeeze your feet together.	2.35	11	D:\signbridge_dataset\how2sign\train\0Dqrsiqf4pY_11-8-rgb_front.mp4	how2sign
pQEx6ySX0Bk-00:03:23.436-00:03:25.205	Why mark it with chalk?	1.769	5	D:\signbridge_dataset\openasl\train\pQEx6ySX0Bk-00.03.23.436-00.03.25.205.mp4	openasl
qxxJZJ2gvEY-00:04:18.925-00:04:21.995	There were protests on Saturday night.	3.07	6	D:\signbridge_dataset\openasl\train\qxxJZJ2gvEY-00.04.18.925-00.04.21.995.mp4	openasl
YdiMaJrAOzY-00:03:59.707-00:04:05.665	Giuliani wanted to discuss investigations.	5.958	5	D:\signbridge_dataset\openasl\train\YdiMaJrAOzY-00.03.59.707-00.04.05.665.mp4	openasl
PmLUfYENGZE-00:10:04.600-00:10:11.419	More enthusiasm around shopping translates into more spending.	6.819	8	D:\signbridge_dataset\openasl\train\PmLUfYENGZE-00.10.04.600-00.10.11.419.mp4	openasl
Wqn9MaZ4OVA-00:02:20.500-00:02:28.300	Bell was on the US Immigration and Customs Enforcement's 'Most Wanted' list.	7.8	13	D:\signbridge_dataset\openasl\train\Wqn9MaZ4OVA-00.02.20.500-00.02.28.300.mp4	openasl
2uM9Vdo_uLQ_12-8-rgb_front	So Daniel comes in, I'm here, to the side, catch that leg, and load him up on your hips.	4.95	19	D:\signbridge_dataset\how2sign\train\2uM9Vdo_uLQ_12-8-rgb_front.mp4	how2sign
0sal9F4RXeY_22-8-rgb_front	And I'm actually kind of at the end of the hole here.	3.85	12	D:\signbridge_dataset\how2sign\train\0sal9F4RXeY_22-8-rgb_front.mp4	how2sign
uB3Amkfk-sw-00:00:12.919-00:00:14.859	NLTC is champ!	1.95	3	D:\signbridge_dataset\openasl\train\uB3Amkfk-sw-00.00.12.919-00.00.14.859.mp4	openasl
2ybDcnPdFUk-00:02:48.801-00:02:53.639	The grandparents usually step in, but they're also vulnerable to acquiring this virus.	4.85	14	D:\signbridge_dataset\openasl\train\2ybDcnPdFUk-00.02.48.801-00.02.53.639.mp4	openasl
hJ3j-qvoXU0-00:07:57.319-00:08:03.600	Utah voters also gave the nod to medical marijuana.	6.3	9	D:\signbridge_dataset\openasl\train\hJ3j-qvoXU0-00.07.57.319-00.08.03.600.mp4	openasl
G1GUMky8kWc_5-2-rgb_front	So for the Rim clicks we got the two, the and of three.	4.45	13	D:\signbridge_dataset\how2sign\test\G1GUMky8kWc_5-2-rgb_front.mp4	how2sign
bcGTWy6jndk_11-8-rgb_front	You also want to make sure that your butter is room temperature.	3.0	12	D:\signbridge_dataset\how2sign\train\bcGTWy6jndk_11-8-rgb_front.mp4	how2sign
JBfXIklnhCE-00:00:22.780-00:00:27.379	You don t want to say anywhere because it is too broad.	4.6	12	D:\signbridge_dataset\openasl\train\JBfXIklnhCE-00.00.22.780-00.00.27.379.mp4	openasl
tLjt1Szi1yo-00:07:23.639-00:07:30.379	The recall was in response to the FDA discovering low levels of asbestos in one baby powder bottle.	6.75	18	D:\signbridge_dataset\openasl\train\tLjt1Szi1yo-00.07.23.639-00.07.30.379.mp4	openasl
iveNZzCRtR0-00:04:18.680-00:04:26.199	He said Papadopoulos had not filed any court appeals within the window he was allowed.	7.519	15	D:\signbridge_dataset\openasl\train\iveNZzCRtR0-00.04.18.680-00.04.26.199.mp4	openasl
8kr8G6TzCbM-00:05:20.737-00:05:26.427	They make milk for cheese, which I sell to a cheese company.	5.7	12	D:\signbridge_dataset\openasl\train\8kr8G6TzCbM-00.05.20.737-00.05.26.427.mp4	openasl
4i0Y_mFJejI-00:00:48.359-00:00:55.820	When people are sick and taken to the hospital, and recover, they will be tested again with a nasopharyngeal swab.	7.461	20	D:\signbridge_dataset\openasl\train\4i0Y_mFJejI-00.00.48.359-00.00.55.820.mp4	openasl
6nijXFM2g0k-00:00:28.940-00:00:34.799	Later in the evening, we joined a community forum that was hosted by the South Carolina Association of the Deaf (SCAD).	5.859	21	D:\signbridge_dataset\openasl\train\6nijXFM2g0k-00.00.28.940-00.00.34.799.mp4	openasl
2FgG0QARPuc_3-8-rgb_front	And, there is few different elements.	2.55	6	D:\signbridge_dataset\how2sign\train\2FgG0QARPuc_3-8-rgb_front.mp4	how2sign
14fs-ot5KCc_5-8-rgb_front	This is going to be the best way to learn the movements in slow motion, then you can go ahead and take it from there.	5.5	25	D:\signbridge_dataset\how2sign\train\14fs-ot5KCc_5-8-rgb_front.mp4	how2sign
-eaisNdrTS4_12-5-rgb_front	So we're hitting the four corners of the room.	2.9	9	D:\signbridge_dataset\how2sign\train\-eaisNdrTS4_12-5-rgb_front.mp4	how2sign
3zRUoFOUi4Q-00:04:38.220-00:04:43.699	And it has a 'green' sesame seed bun!	5.5	8	D:\signbridge_dataset\openasl\train\3zRUoFOUi4Q-00.04.38.220-00.04.43.699.mp4	openasl
A7FKk2B10T8-00:02:38.625-00:02:41.895	It's very sad.	3.27	4	D:\signbridge_dataset\openasl\train\A7FKk2B10T8-00.02.38.625-00.02.41.895.mp4	openasl
MlkCkPmoWPs-00:02:45.288-00:02:47.611	I'm working on the process.	2.323	6	D:\signbridge_dataset\openasl\train\MlkCkPmoWPs-00.02.45.288-00.02.47.611.mp4	openasl
46wX8xjt7mA_4-5-rgb_front	I'm going to begin to shampoo her.	3.15	7	D:\signbridge_dataset\how2sign\train\46wX8xjt7mA_4-5-rgb_front.mp4	how2sign
