vid	yid	start	end	text	duration_sec	word_count	split	keypoint_path	n_frames
RjJSxzMkC90-00:00:25.123-00:00:27.524	RjJSxzMkC90	00:00:25.123	00:00:27.524	Bush through relay.	2.401	3	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-00-25.123-00-00-27.524.npz	48
RjJSxzMkC90-00:00:14.083-00:00:17.094	RjJSxzMkC90	00:00:14.083	00:00:17.094	The secretary called me to come.	3.011000000000001	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-00-14.083-00-00-17.094.npz	60
RjJSxzMkC90-00:00:12.048-00:00:14.083	RjJSxzMkC90	00:00:12.048	00:00:14.083	I was in computer class.	2.035	5	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-00-12.048-00-00-14.083.npz	41
4SVP0ShrpN0-00:04:38.291-00:04:41.291	4SVP0ShrpN0	00:04:38.291	00:04:41.291	Check out our other videos on Moth.	3.0	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4SVP0ShrpN0-00-04-38.291-00-04-41.291.npz	60
RjJSxzMkC90-00:00:39.975-00:00:46.679	RjJSxzMkC90	00:00:39.975	00:00:46.679	On May 3, 1989, I sat down in the superintendent's office.	6.704000000000001	12	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-00-39.975-00-00-46.679.npz	134
4SVP0ShrpN0-00:04:35.750-00:04:38.291	4SVP0ShrpN0	00:04:35.750	00:04:38.291	That is all the news briefs for today.	2.540999999999997	8	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4SVP0ShrpN0-00-04-35.750-00-04-38.291.npz	51
4SVP0ShrpN0-00:03:25.792-00:03:31.667	4SVP0ShrpN0	00:03:25.792	00:03:31.667	It is not known who signed the surety bond.	5.875	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4SVP0ShrpN0-00-03-25.792-00-03-31.667.npz	118
4SVP0ShrpN0-00:04:33.541-00:04:35.750	4SVP0ShrpN0	00:04:33.541	00:04:35.750	There is an investigation.	2.209000000000003	4	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4SVP0ShrpN0-00-04-33.541-00-04-35.750.npz	44
RjJSxzMkC90-00:00:46.679-00:00:50.496	RjJSxzMkC90	00:00:46.679	00:00:50.496	News people were around me with their cameras.	3.817	8	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-00-46.679-00-00-50.496.npz	76
RjJSxzMkC90-00:01:00.420-00:01:02.963	RjJSxzMkC90	00:01:00.420	00:01:02.963	Finally, the President was on the line.	2.543	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-01-00.420-00-01-02.963.npz	51
ftjAL7MnqsE-00:02:41.061-00:02:48.335	ftjAL7MnqsE	00:02:41.061	00:02:48.335	Prosecutors want all four officers to be tried together.	7.274000000000001	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-02-41.061-00-02-48.335.npz	145
ftjAL7MnqsE-00:01:44.236-00:01:52.078	ftjAL7MnqsE	00:01:44.236	00:01:52.078	Biden later visited Shanksville in the afternoon.	7.842000000000013	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-01-44.236-00-01-52.078.npz	157
RjJSxzMkC90-00:00:50.496-00:00:56.423	RjJSxzMkC90	00:00:50.496	00:00:56.423	I sat in front of the TTY and called the relay.	5.927	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-00-50.496-00-00-56.423.npz	119
RjJSxzMkC90-00:02:58.314-00:03:01.848	RjJSxzMkC90	00:02:58.314	00:03:01.848	He was also on the Gallaudet Board.	3.53400000000002	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-02-58.314-00-03-01.848.npz	71
RjJSxzMkC90-00:01:19.694-00:01:25.319	RjJSxzMkC90	00:01:19.694	00:01:25.319	"He said ""good luck"" and I said, ""bye"" and we hung up."	5.625	12	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\RjJSxzMkC90-00-01-19.694-00-01-25.319.npz	112
ftjAL7MnqsE-00:00:03.036-00:00:05.772	ftjAL7MnqsE	00:00:03.036	00:00:05.772	Here are today's top news briefs.	2.736	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-00-03.036-00-00-05.772.npz	55
ftjAL7MnqsE-00:03:04.283-00:03:10.289	ftjAL7MnqsE	00:03:04.283	00:03:10.289	Prosecutors said the evidence is similar for all four.	6.006	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\ftjAL7MnqsE-00-03-04.283-00-03-10.289.npz	120
4CZCJPhojUc-00:12:42.260-00:12:46.347	4CZCJPhojUc	00:12:42.260	00:12:46.347	Here are two top news briefs.	4.086999999999989	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-12-42.260-00-12-46.347.npz	82
4CZCJPhojUc-00:10:53.818-00:10:58.532	4CZCJPhojUc	00:10:53.818	00:10:58.532	Trump sued to block this, but the judge said it has to be handed over.	4.714000000000056	15	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-10-53.818-00-10-58.532.npz	94
4CZCJPhojUc-00:08:30.300-00:08:36.474	4CZCJPhojUc	00:08:30.300	00:08:36.474	Yao Ming is actually the president of the Chinese Basketball Association.	6.174000000000035	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-08-30.300-00-08-36.474.npz	123
4CZCJPhojUc-00:08:24.336-00:08:30.300	4CZCJPhojUc	00:08:24.336	00:08:30.300	The Chinese government has a lot of power and control over the market.	5.963999999999999	13	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-08-24.336-00-08-30.300.npz	119
4CZCJPhojUc-00:07:58.853-00:08:05.401	4CZCJPhojUc	00:07:58.853	00:08:05.401	The Rockets and the NBA league are still figuring out their next steps.	6.548000000000002	13	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-07-58.853-00-08-05.401.npz	131
4CZCJPhojUc-00:13:59.296-00:14:04.259	4CZCJPhojUc	00:13:59.296	00:14:04.259	There is an investigation and there have been no suspects named.	4.962999999999965	11	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-13-59.296-00-14-04.259.npz	99
4SVP0ShrpN0-00:00:49.000-00:00:54.457	4SVP0ShrpN0	00:00:49.000	00:00:54.457	They will be seated on desks and be more than 12 feet apart.	5.457000000000001	13	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4SVP0ShrpN0-00-00-49.000-00-00-54.457.npz	109
4SVP0ShrpN0-00:00:03.208-00:00:05.916	4SVP0ShrpN0	00:00:03.208	00:00:05.916	Here are today's top news briefs.	2.708	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4SVP0ShrpN0-00-00-03.208-00-00-05.916.npz	54
4CZCJPhojUc-00:15:50.073-00:15:52.993	4CZCJPhojUc	00:15:50.073	00:15:52.993	See you tomorrow and stay with the light!	2.9200000000000728	8	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-50.073-00-15-52.993.npz	58
4CZCJPhojUc-00:13:52.623-00:13:59.296	4CZCJPhojUc	00:13:52.623	00:13:59.296	Brown's death on Friday night happened at a different apartment building.	6.673000000000002	12	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-13-52.623-00-13-59.296.npz	133
4CZCJPhojUc-00:15:48.572-00:15:50.073	4CZCJPhojUc	00:15:48.572	00:15:50.073	That is all for today.	1.5009999999999764	5	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-48.572-00-15-50.073.npz	30
4CZCJPhojUc-00:15:34.850-00:15:39.812	4CZCJPhojUc	00:15:34.850	00:15:39.812	It seems like Santos is also homeless.	4.961999999999989	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-34.850-00-15-39.812.npz	99
4CZCJPhojUc-00:15:29.802-00:15:34.850	4CZCJPhojUc	00:15:29.802	00:15:34.850	He confessed that he did it, and it is not known the motive.	5.048000000000002	13	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-29.802-00-15-34.850.npz	101
4CZCJPhojUc-00:15:24.798-00:15:29.802	4CZCJPhojUc	00:15:24.798	00:15:29.802	It was covered with blood and hair.	5.004000000000019	7	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-24.798-00-15-29.802.npz	100
4CZCJPhojUc-00:15:09.408-00:15:12.702	4CZCJPhojUc	00:15:09.408	00:15:12.702	A fifth person was injured.	3.2939999999999827	5	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-09.408-00-15-12.702.npz	66
4CZCJPhojUc-00:15:03.318-00:15:09.408	4CZCJPhojUc	00:15:03.318	00:15:09.408	The homeless victims were sleeping on the streets when they were assaulted.	6.090000000000032	12	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-03.318-00-15-09.408.npz	122
4CZCJPhojUc-00:15:39.812-00:15:46.361	4CZCJPhojUc	00:15:39.812	00:15:46.361	He was also charged with unlawful possession of marijuana.	6.548999999999978	9	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\4CZCJPhojUc-00-15-39.812-00-15-46.361.npz	131
JaJWiCEmDQQ-00:00:06.522-00:00:09.228	JaJWiCEmDQQ	00:00:06.522	00:00:09.228	It is Thursday, January 16.	2.7059999999999995	5	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-00-06.522-00-00-09.228.npz	54
JaJWiCEmDQQ-00:00:03.290-00:00:06.522	JaJWiCEmDQQ	00:00:03.290	00:00:06.522	Hello, welcome to The Daily Moth!	3.232	6	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\JaJWiCEmDQQ-00-00-03.290-00-00-06.522.npz	65
jEjtVRj8yRA-00:07:29.848-00:07:31.617	jEjtVRj8yRA	00:07:29.848	00:07:31.617	That's all for now.	1.7690000000000057	5	train	C:\My Projects\sign-language-bridge\data\openasl_keypoints_preprocessed\train\jEjtVRj8yRA-00-07-29.848-00-07-31.617.npz	35
