vid	yid	start	end	raw-text	tokenized-text	gloss	split	duration_sec	word_count
RjJSxzMkC90-00:00:25.123-00:00:27.524	RjJSxzMkC90	00:00:25.123	00:00:27.524	Bush through relay.	bush through relay		train	2.401	3
RjJSxzMkC90-00:00:14.083-00:00:17.094	RjJSxzMkC90	00:00:14.083	00:00:17.094	The secretary called me to come.	the secretary called me to come		train	3.011000000000001	6
RjJSxzMkC90-00:00:12.048-00:00:14.083	RjJSxzMkC90	00:00:12.048	00:00:14.083	I was in computer class.	i was in computer class		train	2.035	5
4SVP0ShrpN0-00:04:43.833-00:04:45.250	4SVP0ShrpN0	00:04:43.833	00:04:45.250	Captioned by aslcaptions.com	captioned by aslcaptions.com		train	1.41700000000003	3
4SVP0ShrpN0-00:04:41.291-00:04:43.833	4SVP0ShrpN0	00:04:41.291	00:04:43.833	See you tomorrow and stay with the light.	see you tomorrow and stay with the light		train	2.541999999999973	8
4SVP0ShrpN0-00:04:38.291-00:04:41.291	4SVP0ShrpN0	00:04:38.291	00:04:41.291	Check out our other videos on Moth.	check out our other videos on moth		train	3.0	7
RjJSxzMkC90-00:00:39.975-00:00:46.679	RjJSxzMkC90	00:00:39.975	00:00:46.679	On May 3, 1989, I sat down in the superintendent's office.	on may 3, 1989 i sat down in the superintendent 's office		train	6.704000000000001	12
4SVP0ShrpN0-00:04:35.750-00:04:38.291	4SVP0ShrpN0	00:04:35.750	00:04:38.291	That is all the news briefs for today.	that is all the news briefs for today		train	2.540999999999997	8
4SVP0ShrpN0-00:03:57.000-00:04:04.000	4SVP0ShrpN0	00:03:57.000	00:04:04.000	His name was Orlando Serrano-Arzola.	his name was orlando serrano-arzola		train	7.0	5
4SVP0ShrpN0-00:03:31.667-00:03:38.667	4SVP0ShrpN0	00:03:31.667	00:03:38.667	He is due in court on March 8, 2021.	he is due in court on march 8, 2021		train	7.0	9
4SVP0ShrpN0-00:03:25.792-00:03:31.667	4SVP0ShrpN0	00:03:25.792	00:03:31.667	It is not known who signed the surety bond.	it is not known who signed the surety bond		train	5.875	9
4SVP0ShrpN0-00:04:33.541-00:04:35.750	4SVP0ShrpN0	00:04:33.541	00:04:35.750	There is an investigation.	there is an investigation		train	2.209000000000003	4
RjJSxzMkC90-00:00:46.679-00:00:50.496	RjJSxzMkC90	00:00:46.679	00:00:50.496	News people were around me with their cameras.	news people were around me with their cameras		train	3.817	8
RjJSxzMkC90-00:01:00.420-00:01:02.963	RjJSxzMkC90	00:01:00.420	00:01:02.963	Finally, the President was on the line.	finally the president was on the line		train	2.5429999999999997	7
ftjAL7MnqsE-00:02:41.061-00:02:48.335	ftjAL7MnqsE	00:02:41.061	00:02:48.335	Prosecutors want all four officers to be tried together.	prosecutors want all four officers to be tried together		train	7.274000000000001	9
ftjAL7MnqsE-00:01:44.236-00:01:52.078	ftjAL7MnqsE	00:01:44.236	00:01:52.078	Biden later visited Shanksville in the afternoon.	biden later visited shanksville in the afternoon		train	7.842000000000013	7
RjJSxzMkC90-00:00:50.496-00:00:56.423	RjJSxzMkC90	00:00:50.496	00:00:56.423	I sat in front of the TTY and called the relay.	i sat in front of the tty and called the relay		train	5.927	11
RjJSxzMkC90-00:03:16.697-00:03:18.031	RjJSxzMkC90	00:03:16.697	00:03:18.031	Captioned by www.DPAN.tv	captioned by www.dpan.tv		train	1.3340000000000032	3
RjJSxzMkC90-00:02:58.314-00:03:01.848	RjJSxzMkC90	00:02:58.314	00:03:01.848	He was also on the Gallaudet Board.	he was also on the gallaudet board		train	3.53400000000002	7
RjJSxzMkC90-00:01:19.694-00:01:25.319	RjJSxzMkC90	00:01:19.694	00:01:25.319	"He said ""good luck"" and I said, ""bye"" and we hung up."	he said good luck and i said bye and we hung up		train	5.625	12
ftjAL7MnqsE-00:00:03.036-00:00:05.772	ftjAL7MnqsE	00:00:03.036	00:00:05.772	Here are today's top news briefs.	here are today 's top news briefs		train	2.736	7
ftjAL7MnqsE-00:03:04.283-00:03:10.289	ftjAL7MnqsE	00:03:04.283	00:03:10.289	Prosecutors said the evidence is similar for all four.	prosecutors said the evidence is similar for all four		train	6.006	9
4CZCJPhojUc-00:12:42.260-00:12:46.347	4CZCJPhojUc	00:12:42.260	00:12:46.347	Here are two top news briefs.	here are two top news briefs		train	4.086999999999989	6
4CZCJPhojUc-00:10:53.818-00:10:58.532	4CZCJPhojUc	00:10:53.818	00:10:58.532	Trump sued to block this, but the judge said it has to be handed over.	trump sued to block this but the judge said it has to be handed over		train	4.714000000000056	15
4CZCJPhojUc-00:08:30.300-00:08:36.474	4CZCJPhojUc	00:08:30.300	00:08:36.474	Yao Ming is actually the president of the Chinese Basketball Association.	yao ming is actually the president of the chinese basketball association		train	6.174000000000035	11
4CZCJPhojUc-00:08:24.336-00:08:30.300	4CZCJPhojUc	00:08:24.336	00:08:30.300	The Chinese government has a lot of power and control over the market.	the chinese government has a lot of power and control over the market		train	5.963999999999999	13
4CZCJPhojUc-00:07:58.853-00:08:05.401	4CZCJPhojUc	00:07:58.853	00:08:05.401	The Rockets and the NBA league are still figuring out their next steps.	the rockets and the nba league are still figuring out their next steps		train	6.548000000000002	13
4CZCJPhojUc-00:13:59.296-00:14:04.259	4CZCJPhojUc	00:13:59.296	00:14:04.259	There is an investigation and there have been no suspects named.	there is an investigation and there have been no suspects named		train	4.962999999999965	11
4SVP0ShrpN0-00:00:49.000-00:00:54.457	4SVP0ShrpN0	00:00:49.000	00:00:54.457	They will be seated on desks and be more than 12 feet apart.	they will be seated on desks and be more than 12 feet apart		train	5.457000000000001	13
4SVP0ShrpN0-00:00:03.208-00:00:05.916	4SVP0ShrpN0	00:00:03.208	00:00:05.916	Here are today's top news briefs.	here are today 's top news briefs		train	2.708	7
4SVP0ShrpN0-00:00:00.458-00:00:03.208	4SVP0ShrpN0	00:00:00.458	00:00:03.208	It is Wednesday, October 7.	it is wednesday, october 7		train	2.75	5
4CZCJPhojUc-00:15:50.073-00:15:52.993	4CZCJPhojUc	00:15:50.073	00:15:52.993	See you tomorrow and stay with the light!	see you tomorrow and stay with the light		train	2.9200000000000728	8
4CZCJPhojUc-00:13:52.623-00:13:59.296	4CZCJPhojUc	00:13:52.623	00:13:59.296	Brown's death on Friday night happened at a different apartment building.	brown 's death on friday night happened at a different apartment building		train	6.673000000000002	12
4CZCJPhojUc-00:15:48.572-00:15:50.073	4CZCJPhojUc	00:15:48.572	00:15:50.073	That is all for today.	that is all for today		train	1.5009999999999764	5
4CZCJPhojUc-00:15:34.850-00:15:39.812	4CZCJPhojUc	00:15:34.850	00:15:39.812	It seems like Santos is also homeless.	it seems like santos is also homeless		train	4.961999999999989	7
4CZCJPhojUc-00:15:29.802-00:15:34.850	4CZCJPhojUc	00:15:29.802	00:15:34.850	He confessed that he did it, and it is not known the motive.	he confessed that he did it and it is not known the motive		train	5.048000000000002	13
4CZCJPhojUc-00:15:24.798-00:15:29.802	4CZCJPhojUc	00:15:24.798	00:15:29.802	It was covered with blood and hair.	it was covered with blood and hair		train	5.004000000000019	7
4CZCJPhojUc-00:15:09.408-00:15:12.702	4CZCJPhojUc	00:15:09.408	00:15:12.702	A fifth person was injured.	a fifth person was injured		train	3.2939999999999827	5
4CZCJPhojUc-00:15:03.318-00:15:09.408	4CZCJPhojUc	00:15:03.318	00:15:09.408	The homeless victims were sleeping on the streets when they were assaulted.	the homeless victims were sleeping on the streets when they were assaulted		train	6.090000000000032	12
