VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE	row_duration_sec	duration_sec	word_count
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_13	--7E2sU6zP4_13-5-rgb_front	183.12	189.01	This is all the you know, take off on the idea of the acanthus leaf.	5.889999999999986	5.889999999999986	15
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_1	--8pSDeC-fg_1-5-rgb_front	1.98	4.56	My name is Dr. Art Bowler.	2.58	2.5799999999999996	6
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_10	--8pSDeC-fg_10-5-rgb_front	45.55	52.32	Are you always focused on the positive aspects of your physical self instead of the negative?	6.770000000000003	6.770000000000003	16
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_11	--8pSDeC-fg_11-5-rgb_front	52.37	56.01	If so you have high self esteem.	3.640000000000001	3.6400000000000006	7
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_13	--8pSDeC-fg_13-5-rgb_front	67.47	73.63	Such as I am unlove, unlovable and no one will like me.	6.159999999999997	6.159999999999997	12
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_15	--8pSDeC-fg_15-5-rgb_front	93.09	100.05	It's really important to notice if you have low self esteem because then you can do something about it.	6.959999999999994	6.959999999999994	19
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_16	--8pSDeC-fg_16-5-rgb_front	100.07	107.83	This is Dr. Art Bowler and this has been how to tell if you have low self esteem.	7.760000000000005	7.760000000000005	18
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_2	--8pSDeC-fg_2-5-rgb_front	4.58	9.63	And I'm a psychologist in Manhattan, New York City, where I have my own private practice.	5.050000000000001	5.050000000000001	16
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_3	--8pSDeC-fg_3-5-rgb_front	9.69	17.0	In this clip I'm going to talk about how to tell if you have low self esteem.	7.31	7.3100000000000005	17
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_5	--8pSDeC-fg_5-5-rgb_front	25.56	28.87	But fortunately it's very fixable.	3.3100000000000023	3.3100000000000023	5
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_6	--8pSDeC-fg_6-5-rgb_front	28.89	35.23	When one has low self esteem, the way you can tell is look in the mirror.	6.339999999999996	6.339999999999996	16
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_7	--8pSDeC-fg_7-5-rgb_front	35.39	37.49	How do you feel about yourself?	2.1000000000000014	2.1000000000000014	6
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_8	--8pSDeC-fg_8-5-rgb_front	37.52	39.26	What do you see?	1.7399999999999949	1.7399999999999949	4
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_9	--8pSDeC-fg_9-5-rgb_front	39.45	45.52	Do you see the positive parts of your personality or do you notice the negative?	6.07	6.07	15
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_0	--dANj_01AU_0-5-rgb_front	1.68	8.32	In the side position, we're going to be palming and thumbing the sen lines on the legs.	6.640000000000001	6.640000000000001	17
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_10	--dANj_01AU_10-5-rgb_front	73.36	76.79	I lift it up enough to make sure that I'm comfortable.	3.430000000000007	3.430000000000007	11
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_11	--dANj_01AU_11-5-rgb_front	77.4	84.04	Come back and forth.	6.640000000000001	6.640000000000001	4
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_12	--dANj_01AU_12-5-rgb_front	84.82	87.89	Always make sure you get a little thumbing in there too.	3.0700000000000074	3.0700000000000074	11
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_16	--dANj_01AU_16-5-rgb_front	88.13	90.02	Be very mindful of that.	1.8900000000000008	1.8900000000000006	5
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_19	--dANj_01AU_19-5-rgb_front	142.79	146.85	Back and forth.	4.060000000000002	4.060000000000002	3
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_2	--dANj_01AU_2-5-rgb_front	17.48	21.75	So starting with palming on sen lines with this leg.	4.27	4.27	10
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_21	--dANj_01AU_21-5-rgb_front	110.36	114.52	Always giving a little bit of Meta, a little loving kindness as you finish.	4.159999999999997	4.159999999999997	14
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_3	--dANj_01AU_3-5-rgb_front	21.79	25.61	On the front leg you're going to be doing the outside.	3.82	3.8200000000000003	11
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_4	--dANj_01AU_4-5-rgb_front	25.64	29.8	And on the inside leg closest to you, you're going to be doing the inside.	4.16	4.16	15
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_5	--dANj_01AU_5-5-rgb_front	29.82	33.35	So we're going to start with the inside leg first.	3.530000000000001	3.530000000000001	10
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_7	--dANj_01AU_7-5-rgb_front	41.93	47.34	Walking it up, rocking it down.	5.410000000000004	5.410000000000004	6
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_1	-00cp1iGiDw_1-5-rgb_front	9.82	17.22	If you like to find more about my services you can visit my website canineheadstart.com.	7.399999999999999	7.399999999999999	15
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_15	-00cp1iGiDw_15-5-rgb_front	198.61	206.12	We are going to be talking about external flea prevention in the next video.	7.509999999999991	7.509999999999991	14
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_2	-00cp1iGiDw_2-5-rgb_front	17.32	22.53	So we are going to be talking about flea prevention in this short video clip.	5.210000000000001	5.210000000000001	15
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_4	-00cp1iGiDw_4-5-rgb_front	34.57	40.48	So we are going to be talking about products that you can use to prevent fleas.	5.909999999999997	5.909999999999997	16
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_1	-06_nJnhORg_1-5-rgb_front	15.04	17.91	But things just don't go right from the very beginning.	2.870000000000001	2.870000000000001	10
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_10	-06_nJnhORg_10-5-rgb_front	112.12	118.19	I have lots of clients that want cleaning done Thursdays and Fridays, because they want it done right before the weekend.	6.069999999999993	6.069999999999993	21
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_11	-06_nJnhORg_11-5-rgb_front	118.19	122.44	So Thursdays are really jam-packed.	4.25	4.25	5
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_14	-06_nJnhORg_14-5-rgb_front	144.73	151.25	So I...I continued to fight through it, fight through it...didn't feel real great.	6.52000000000001	6.52000000000001	13
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_15	-06_nJnhORg_15-5-rgb_front	151.25	158.66	So, got in the car, got to the first job, everything went, you know, okay....I was good, but I was still a little bit late.	7.409999999999997	7.409999999999997	25
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_19	-06_nJnhORg_19-5-rgb_front	196.03	198.68	And, so, that was kind of tough.	2.6500000000000057	2.6500000000000057	7
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_9	-06_nJnhORg_9-5-rgb_front	107.61	112.12	One of my toughest days are Thursdays.	4.510000000000005	4.510000000000005	7
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_1	-08ZGCviCm4_1-5-rgb_front	12.14	19.52	In this clip I am going to talk about a great drill that is really going to help you to shift your weight forward.	7.379999999999999	7.379999999999999	24
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_2	-08ZGCviCm4_2-5-rgb_front	20.27	27.23	In golf you have got to learn to shift your weight forward in order to hit the ball and transfer your weight into your left side.	6.960000000000001	6.960000000000001	26
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_7	-08ZGCviCm4_7-5-rgb_front	86.87	90.44	That is a great tip that I give to a lot of my students.	3.569999999999993	3.569999999999993	14
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_8	-08ZGCviCm4_8-5-rgb_front	90.51	98.29	When hitting the ball think about throwing the club and that is going to generate extension and weight transfer.	7.780000000000001	7.780000000000001	19
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_9	-08ZGCviCm4_9-5-rgb_front	98.37	104.27	This is Julio Nutt at the Jim McLean Golf School.	5.899999999999992	5.8999999999999915	10
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_11	-0BynF9TSNI_11-5-rgb_front	75.65	78.12	The kids will love you for it.	2.469999999999999	2.469999999999999	7
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_12	-0BynF9TSNI_12-5-rgb_front	78.16	83.85	I'll show you the ingredients, utensils it's literally 15 minutes and it's done.	5.689999999999998	5.689999999999998	13
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_2	-0BynF9TSNI_2-5-rgb_front	24.57	29.57	Sweet bruschetta is just the mixing of different things chopped up and baked in the oven.	5.0	5.0	16
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_4	-0BynF9TSNI_4-5-rgb_front	41.09	46.58	But today we're going to show you one for the kids and especially the big kids like me.	5.489999999999995	5.489999999999995	18
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_5	-0BynF9TSNI_5-5-rgb_front	46.62	48.31	I mean this is nice.	1.6900000000000048	1.6900000000000048	5
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_6	-0BynF9TSNI_6-5-rgb_front	48.34	54.0	You're going to use a whole bunch of things like bananas is the main thing.	5.659999999999997	5.659999999999997	15
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_7	-0BynF9TSNI_7-5-rgb_front	54.67	59.74	When you put in beneath that flame, it glazes and just comes out spectacular.	5.07	5.07	14
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_8	-0BynF9TSNI_8-5-rgb_front	59.97	62.81	I'm going to show you all the ingredients of this recipe.	2.8400000000000034	2.8400000000000034	11
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_9	-0BynF9TSNI_9-5-rgb_front	63.26	65.81	This is at least 60, 70s years old I think.	2.5500000000000043	2.5500000000000043	10
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_0	-0FA6OhxZSE_0-5-rgb_front	0.66	2.95	DAVID CLEMEN: Hi.	2.29	2.29	3
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_10	-0FA6OhxZSE_10-5-rgb_front	102.02	109.13	I'm left-handed but I played sports with right, so I do squeegee with the right hand.	7.109999999999999	7.109999999999999	16
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_11	-0FA6OhxZSE_11-5-rgb_front	109.14	114.45	And so, that's squeegeeing the second color.	5.310000000000002	5.310000000000002	7
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_3	-0FA6OhxZSE_3-5-rgb_front	23.32	27.34	And I'm just going to come in here and just kinda fill it out.	4.02	4.02	14
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_5	-0FA6OhxZSE_5-5-rgb_front	59.87	65.65	So, now, I'm getting this texture of the paint underneath of it.	5.780000000000008	5.780000000000008	12
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_7	-0FA6OhxZSE_7-5-rgb_front	74.77	78.05	And I'm not trying to cover up all the red.	3.280000000000001	3.280000000000001	10
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_11	-0JdYlTf9Y8_11-5-rgb_front	95.12	97.95	It's really, what you get for your dollar.	2.8299999999999983	2.8299999999999983	8
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_3	-0JdYlTf9Y8_3-5-rgb_front	22.74	24.48	This is a forty-eight inch trophy.	1.740000000000002	1.740000000000002	6
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_4	-0JdYlTf9Y8_4-5-rgb_front	24.48	32.04	If you go to any trophy store and they can offer you this forty-eight inch trophy for as little as $20.	7.559999999999999	7.559999999999999	21
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_7	-0JdYlTf9Y8_7-5-rgb_front	54.41	62.14	We use marble bases that are imported directly from Italy.	7.730000000000004	7.730000000000004	10
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_9	-0JdYlTf9Y8_9-5-rgb_front	78.57	85.47	A lot of times people will try and save money in building a trophy by leaving out these little things.	6.900000000000006	6.900000000000006	20
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_1	-0N0jbyBW6g_1-5-rgb_front	2.27	8.53	We're going to be speaking about cross stitch craft kits today.	6.26	6.26	11
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_10	-0N0jbyBW6g_10-5-rgb_front	87.85	90.52	My name is Daniel King.	2.6700000000000017	2.6700000000000017	5
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_2	-0N0jbyBW6g_2-5-rgb_front	9.73	16.34	My name is Daniel King, and I'm an experienced pattern maker, designer and sewer.	6.609999999999999	6.609999999999999	14
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_3	-0N0jbyBW6g_3-5-rgb_front	16.34	22.49	Cross stitch craft kits are kits that you can order through many craft stores or art supply stores.	6.149999999999999	6.149999999999999	18
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_4	-0N0jbyBW6g_4-5-rgb_front	22.49	27.92	These kits allow you to do different designs.	5.430000000000003	5.430000000000003	8
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_9	-0N0jbyBW6g_9-5-rgb_front	81.35	87.83	Again, we're talking about cross stitch....cross stitch craft kits.	6.480000000000004	6.480000000000004	9
-0ZqnVFv7eI	-0ZqnVFv7eI-5-rgb_front	-0ZqnVFv7eI_0	-0ZqnVFv7eI_0-5-rgb_front	0.56	6.21	This is Robert Stewart, with Hill13.com.	5.65	5.65	6
